2026-05-03 11:46:55,033 - INFO - Building environment (duel)...
2026-05-03 11:46:55,034 - INFO - hisss reward_cfg (how match rewards are shaped): {'living_reward': 0.0, 'terminal_reward': 1.0}
2026-05-03 11:46:55,034 - INFO - Observation shape: (2, 21, 21, 22) | channels=22
2026-05-03 11:46:55,592 - INFO - DQN training configuration: {
  "gamma": 0.99,
  "batch_size": 64,
  "train_after": 500,
  "train_every": 1,
  "target_update_every": 500,
  "epsilon_start": 1.0,
  "epsilon_end": 0.05,
  "epsilon_decay_steps": 50000,
  "replay_capacity": 50000
}
2026-05-03 11:46:57,487 - DEBUG - env step | turn=112 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,523 - DEBUG - env step | turn=113 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,524 - DEBUG - env step | turn=114 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,524 - DEBUG - env step | turn=115 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,525 - DEBUG - env step | turn=116 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,560 - DEBUG - env step | turn=117 | actions=(2, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,560 - DEBUG - env step | turn=118 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,561 - DEBUG - env step | turn=119 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,561 - DEBUG - env step | turn=120 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,561 - DEBUG - env step | turn=121 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,613 - DEBUG - env step | turn=122 | actions=(1, 1) | rewards=[ 1. -1.] | done=True
2026-05-03 11:46:57,613 - INFO - Episode 3 finished | env steps=123 | cumulative reward (per snake)=[ 1. -1.] | ε=0.9961 | replay size=406
2026-05-03 11:46:57,614 - DEBUG - env step | turn=0 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,614 - DEBUG - env step | turn=1 | actions=(3, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,652 - DEBUG - env step | turn=2 | actions=(3, 0) | rewards=[0. 0.] | done=False
